vantage,n_packets,corr,support,top_rule
ams,38692,93.039854,80.435524,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
blr,35674,94.909423,84.954439,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
cam,38022,94.358644,82.624098,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
dtw,36802,96.969410,86.895948,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
eze,39657,94.371821,82.965294,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
fmt,41079,94.516472,82.386055,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
fra,34311,98.893608,85.842915,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
jnb,52880,92.324888,83.132558,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
lju,35543,98.626564,88.478006,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
lon,36699,94.744409,83.267271,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
mad,37499,94.377375,89.762605,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
mex,35204,95.088925,89.897128,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
mru,35786,93.689187,83.853461,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
nbo,33649,93.103274,82.756977,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
nyc,35297,98.361663,87.635359,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
pek,17331,97.904131,90.330387,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
sgp,35371,97.207534,87.045400,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
syd,35851,89.447709,83.750203,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
tor,33655,98.482847,84.802726,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
tyo,35031,94.311228,89.491602,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
waw,33899,87.392733,81.617868,!PLEN_MED|=> ##[ 0.000000 : 4.000000 ] !HAS_FRAG_EH
JAMES21_DONE
